company,no_of_salaries,avg_salary,min_salary,max_salary
FeltSo,1,-1,₹60K,₹64K
Raghavendra Rathore Jodhpur,1,-1,"₹1,447K","₹1,569K"
CleverTap,1,-1,"₹1,863K","₹2,028K"
Comviva,1,-1,₹14K,₹16K
Bharti Airtel,1,-1,₹336K,₹359K
Abhinav Outsourcings,1,-1,"₹1,231K","₹1,342K"
BMC Software,1,-1,₹59K,₹64K
Kevit Technologies,1,-1,₹15K,₹17K
CES (India),1,-1,₹605K,₹651K
Deutsche Bank,1,-1,"₹1,421K","₹1,550K"
Capital One,1,-1,₹150K,₹163K
Student,1,-1,₹35K,₹38K
Rapido,1,-1,₹29K,₹32K
UniQreate,1,-1,₹484K,₹517K
Sirpi,1,-1,₹14K,₹15K
L&T Technology Services,1,-1,₹657K,₹708K
Mobius Knowledge Services,1,-1,₹497K,₹536K
Unisave Marketing Networks,1,-1,₹18K,₹19K
Ecozen Solutions,1,-1,₹23K,₹25K
Wellness Forever,1,-1,₹12K,₹14K
Ericsson-Worldwide,1,-1,₹40K,₹43K
Tredence,1,-1,"₹1,260K","₹1,345K"
Flipkart,1,-1,₹96K,₹105K
AdWyze,1,-1,₹30K,₹32K
Hdfc,1,-1,₹154K,₹170K
Perpule,1,-1,"₹1,191K","₹1,301K"
RyDOT Infotech,1,-1,₹299K,₹328K
PRM Fincon,1,-1,"₹1,686K","₹1,837K"
Usha International Limited,1,-1,"₹2,018K","₹2,217K"
Lenovo,1,-1,"₹2,185K","₹2,322K"
Goals101,1,-1,₹10K,₹10K
RedCarpet,1,-1,₹20K,₹22K
eBay,1,-1,"₹1,415K","₹1,534K"
Veron Technologies,1,-1,₹953K,"₹1,027K"
Pegasystems,1,-1,"₹1,121K","₹1,210K"
Zopper,1,-1,"₹2,178K","₹2,396K"
eClerx,1,-1,₹44K,₹48K
Eruvaka Technologies,1,-1,₹20K,₹22K
Jotter,1,-1,₹75K,₹81K
Darashaw Consultants,1,-1,₹193K,₹206K
Shine,1,-1,₹716K,₹773K
Electronic Arts,1,-1,₹876K,₹940K
Bahwan CyberTek,1,-1,₹727K,₹784K
Transabel,1,-1,₹19K,₹21K
UnitedHealth Group,1,-1,₹25K,₹27K
Sokrati,1,-1,₹25K,₹28K
Patrick,1,-1,₹393K,₹423K
Kaleidofin,1,-1,"₹1,152K","₹1,253K"
Decimal Technologies,1,-1,"₹1,349K","₹1,455K"
Indimedics Healthcare,1,-1,₹41K,₹45K
Anheuser-Busch InBev,1,-1,₹105K,₹113K
DataTrained,1,-1,₹478K,₹523K
Alfonso & Associates Consulting,1,-1,"₹3,288K","₹3,560K"
Icreon,1,-1,"₹1,022K","₹1,107K"
R.R. Donnelley,1,-1,₹919K,₹987K
CanWill Technologies,1,-1,"₹1,100K","₹1,178K"
TCG Digital,1,-1,"₹1,414K","₹1,539K"
Analytics Vidhya,1,-1,₹165K,₹179K
Applied Research Works,1,-1,₹611K,₹665K
FreeCharge,1,-1,₹21K,₹23K
PSL (India),1,-1,"₹1,066K","₹1,149K"
BTM Financial,1,-1,₹409K,₹441K
Evive,1,-1,₹54K,₹58K
Diet Code,1,-1,₹691K,₹744K
Unisys,1,-1,₹426K,₹456K
CRED,1,-1,"₹2,424K","₹2,608K"
Higroove Systems,1,-1,₹44K,₹47K
Motorq,1,-1,₹108K,₹117K
CoRover,1,-1,"₹1,853K","₹2,028K"
vElement,1,-1,₹232K,₹249K
Dew Solutions,1,-1,₹58K,₹63K
Dainik Bhaskar,1,-1,₹664K,₹716K
PipeCandy,1,-1,₹507K,₹547K
AgroStar,1,-1,₹51K,₹55K
UangTeman,1,-1,₹521K,₹562K
Bepec Solutions,1,-1,₹426K,₹468K
Dure Technologies,1,-1,"₹1,432K","₹1,549K"
AscentHR Services,1,-1,₹327K,₹355K
Data Sutram,1,-1,₹300K,₹328K
Wipro,1,-1,₹10K,₹11K
Vivriti Capital,1,-1,"₹2,050K","₹2,184K"
Trinity Mobility,1,-1,₹591K,₹637K
SahiCareer,1,-1,₹20K,₹22K
Finception,1,-1,₹10K,₹11K
Pentation Analytics,1,-1,₹481K,₹522K
ExxonMobil,1,-1,"₹2,630K","₹2,878K"
Tata Power DDL,1,-1,₹6K,₹6K
Innowatts,1,-1,₹692K,₹755K
Xoanon Analytics,1,-1,"₹1,167K","₹1,248K"
Opera Solutions,1,-1,"₹2,378K","₹2,580K"
C-DAC,1,-1,₹436K,₹467K
Concentrix,1,-1,₹482K,₹523K
Grofers,1,-1,₹50K,₹54K
Pluto7,1,-1,₹46K,₹50K
Wave Infosoft,1,-1,₹575K,₹616K
Eaton,1,-1,"₹1,391K","₹1,501K"
GlobalData,1,-1,₹773K,₹846K
NMIMS,1,-1,₹78K,₹84K
Aptagrim Consulting,1,-1,₹10K,₹11K
Twimbit,1,-1,₹14K,₹16K
Essker Technologies,1,-1,₹416K,₹446K
Vertiv,1,-1,₹618K,₹677K
Myraa Technologies,1,-1,₹24K,₹26K
GradValley Data Science,1,-1,₹16K,₹17K
PIMCO,1,-1,"₹1,190K","₹1,304K"
Tatras Data,1,-1,"₹1,198K","₹1,290K"
Lybrate,1,-1,₹10K,₹10K
Birlasoft,1,-1,"₹8,757K","₹9,604K"
DeepTek Medical Imaging,1,-1,₹786K,₹858K
BayesLabs,1,-1,₹572K,₹622K
M-SIX Technology,1,-1,₹944K,"₹1,024K"
Teras Tech Solutions,1,-1,₹870K,₹955K
The Data Team,1,-1,₹595K,₹649K
BluePi,1,-1,₹479K,₹523K
62ABOVE,1,-1,₹363K,₹388K
Freelancer,1,-1,₹1K,₹1K
PolicyBazaar,1,-1,₹949K,"₹1,031K"
Tata Motors,1,-1,"₹1,125K","₹1,229K"
RxLogix Corporation,1,-1,"₹1,429K","₹1,556K"
PwC,1,-1,₹48K,₹52K
PwC,1,-1,₹48K,₹52K
D2K Technologies India,1,-1,₹612K,₹671K
Cogoport,1,-1,₹52K,₹56K
Liberin Technologies,1,-1,₹3K,₹3K
Toppr.com,1,-1,₹32K,₹34K
BANK,1,-1,₹91K,₹98K
TheMathCompany,1,-1,₹543K,₹588K
Impressico Business Solutions,1,-1,₹721K,₹773K
Perfectice,1,-1,₹8K,₹8K
Affine Analytics,1,-1,₹14K,₹16K
ALSTOM,1,-1,₹960K,"₹1,039K"
Virtusa,1,-1,₹8K,₹9K
Industryarc,1,-1,"₹1,022K","₹1,104K"
JC's BBQ & Grill,1,-1,₹105K,₹113K
DIMTS,1,-1,"₹1,986K","₹2,143K"
Coffee Beans,1,-1,₹623K,₹676K
BidMath,1,-1,₹961K,"₹1,032K"
InMobi,1,-1,"₹3,060K","₹3,299K"
Aaum Research and Analytics,1,-1,₹58K,₹63K
Iksula,1,-1,₹863K,₹927K
Cloud Counselage,1,-1,₹10K,₹11K
MyCityWay,1,-1,"₹2,278K","₹2,469K"
Flipkart,1,-1,₹52K,₹56K
EventStreet,1,-1,₹635K,₹689K
Boeing,1,-1,₹75K,₹81K
Moglix,1,-1,"₹1,220K","₹1,311K"
Powerup Technology Inc,1,-1,₹45K,₹49K
Discover Dollar,1,-1,₹12K,₹12K
Yashoda Hospital,1,-1,₹344K,₹368K
Quadrant 4 Systems,1,-1,₹955K,"₹1,027K"
Lava International,1,-1,₹599K,₹644K
Shrofile,1,-1,₹10K,₹11K
Startup,1,-1,₹38K,₹41K
HERE Technologies,1,-1,₹32K,₹34K
Cisco Systems,1,-1,₹10K,₹11K
Fiabilte Networks Solutions,1,-1,₹514K,₹561K
Roposo,1,-1,"₹2,981K","₹3,245K"
General Mills,1,-1,"₹2,223K","₹2,407K"
ExcelR,1,-1,₹344K,₹371K
Objectsol Technologies,1,-1,₹231K,₹251K
QuantZig,1,-1,₹29K,₹31K
AmberTAG Analytics,1,-1,₹324K,₹351K
LinkedIn,1,-1,₹51K,₹55K
Lazada,1,-1,₹14K,₹15K
Star TV Network,1,-1,"₹1,929K","₹2,088K"
Icreon Communications,1,-1,"₹1,422K","₹1,544K"
IBM India,1,-1,"₹2,600K","₹2,837K"
Reliance Industries,1,-1,₹892K,₹954K
Litifer,1,-1,₹10K,₹10K
Yotta Systems,1,-1,₹36K,₹39K
ToXSL Technologies,1,-1,₹75K,₹80K
SPi Technologies,1,-1,₹673K,₹734K
RDA Labs,1,-1,"₹1,850K","₹2,019K"
RateGain,1,-1,"₹1,145K","₹1,247K"
Shivam Gupta,1,-1,"₹1,616K","₹1,773K"
Mphasis,1,-1,₹68K,₹74K
Navidium,1,-1,₹629K,₹689K
Entropik Tech,1,-1,₹11K,₹12K
redBus India,1,-1,"₹2,060K","₹2,216K"
Upwork,1,-1,₹14K,₹15K
Upwork,1,-1,₹14K,₹16K
Navriti Technologies,1,-1,₹20K,₹22K
ValueFirst Digital Media,1,-1,₹16K,₹17K
ZiffyHomes,1,-1,₹594K,₹637K
Delhivery,1,-1,₹35K,₹38K
Angel Broking,1,-1,₹20K,₹22K
GE Aviation,1,-1,"₹1,251K","₹1,361K"
Rubique,1,-1,"₹1,363K","₹1,467K"
CROPIN TECHNOLOGY SOLUTIONS,1,-1,₹54K,₹59K
Zendrive,1,-1,"₹1,364K","₹1,477K"
Ardent Technologies,1,-1,₹571K,₹620K
Vmoksha Technologies,1,-1,₹469K,₹504K
eKincare,1,-1,₹606K,₹656K
Google,1,-1,₹216K,₹237K
Sciative Solutions,1,-1,₹537K,₹586K
NorthOut,1,-1,₹42K,₹45K
Global Eagle,1,-1,"₹3,828K","₹4,133K"
Global Tech Promoters,1,-1,₹288K,₹311K
MeasureOne,1,-1,"₹1,561K","₹1,686K"
Dell Technologies,1,-1,₹30K,₹32K
MoneyTap,1,-1,"₹2,865K","₹3,110K"
Target,1,-1,"₹2,233K","₹2,407K"
Fresh Gravity,1,-1,₹48K,₹52K
NextGenVision Technology,1,-1,"₹1,029K","₹1,100K"
DataScientest,1,-1,₹57K,₹63K
ABC,1,-1,₹856K,₹941K
FourKites,1,-1,₹28K,₹31K
WebMD Health,1,-1,₹829K,₹893K
HDFC Ergo,1,-1,₹290K,₹311K
Tech Holding,1,-1,₹574K,₹620K
Experian,1,-1,₹28K,₹30K
NIKI,1,-1,₹484K,₹522K
Morningstar,1,-1,"₹1,306K","₹1,405K"
Technogeeks,1,-1,₹200K,₹217K
Blink Digital (India),1,-1,₹403K,₹437K
Webhelp,1,-1,"₹1,685K","₹1,823K"
Nielsen,1,-1,₹48K,₹51K
J.P. Morgan,1,-1,₹75K,₹82K
Molecular Connections,1,-1,₹532K,₹573K
Spinnaker Support,1,-1,"₹1,541K","₹1,660K"
Molecular Connections,1,-1,₹530K,₹571K
Spinnaker Support,1,-1,"₹1,527K","₹1,674K"
Freelance,1,-1,"₹3,045K","₹3,302K"
Capital Float,1,-1,₹24K,₹26K
Tekbiz Soft Solutions,1,-1,₹530K,₹574K
Panasonic,1,-1,"₹1,443K","₹1,547K"
MakroCare,1,-1,"₹5,518K","₹5,985K"
CredR,1,-1,₹695K,₹747K
IBM GBS,1,-1,₹428K,₹468K
Draup,1,-1,₹30K,₹32K
UNIQ Technologies,1,-1,₹35K,₹39K
SeedOlabs,1,-1,₹465K,₹501K
Chemdiqas R & D,1,-1,₹617K,₹669K
Exceloid Soft Systems,1,-1,₹10K,₹11K
HTC Global Services,1,-1,₹30K,₹33K
Robert Bosch,1,-1,"₹1,098K","₹1,188K"
Tokopedia,1,-1,₹104K,₹114K
Altimetrik,1,-1,₹30K,₹32K
Vermeer,1,-1,₹288K,₹314K
Intelligence Node,1,-1,₹26K,₹28K
Broadridge,1,-1,"₹1,918K","₹2,093K"
NEC Technologies India,1,-1,₹679K,₹740K
Samsung Electronics,1,-1,"₹2,295K","₹2,481K"
HARMAN,1,-1,₹567K,₹622K
Reckonsys,1,-1,₹83K,₹90K
Cronycle,1,-1,₹15K,₹16K
Teknuance Info Solutions,1,-1,₹258K,₹281K
Fuzzy Logix,1,-1,₹116K,₹127K
Virtusa,1,-1,₹57K,₹62K
Yottaasys,1,-1,"₹1,346K","₹1,452K"
ICUBE Consultancy Services,1,-1,₹649K,₹700K
Casa Hospital San Juan de Dios,1,-1,₹479K,₹524K
Sumyag,1,-1,₹55K,₹59K
Nucsoft,1,-1,₹314K,₹337K
edwisor,1,-1,₹51K,₹55K
Blackcoffer,1,-1,₹21K,₹23K
CGI,1,-1,₹395K,₹428K
Bidgely,1,-1,"₹1,636K","₹1,779K"
LTI,1,-1,₹563K,₹616K
AltraSys,1,-1,₹325K,₹347K
Capgemini,1,-1,₹39K,₹42K
Nokia,1,-1,₹342K,₹373K
Yes Bank,1,-1,₹48K,₹52K
Xeco,1,-1,₹302K,₹326K
ZEE5,1,-1,"₹1,433K","₹1,560K"
Alma Mater Biz Solutions,1,-1,₹2K,₹2K
Q Management,1,-1,₹97K,₹104K
Bajaj Finserv Lending,1,-1,₹173K,₹187K
Zolo,1,-1,"₹1,128K","₹1,222K"
Dentalkart,1,-1,₹42K,₹45K
Algebra Software Analytics,1,-1,₹999K,"₹1,084K"
Dell Technologies,1,-1,₹50K,₹54K
KPMG,1,-1,₹18K,₹19K
Grofers,1,-1,"₹1,791K","₹1,930K"
Internshala,1,-1,"₹1,137K","₹1,238K"
ION Trading,1,-1,"₹1,022K","₹1,111K"
Uniphore Software Systems,1,-1,₹877K,₹939K
Mastercard,1,-1,"₹2,100K","₹2,280K"
Mâ-Loango Regional Museum?,1,-1,₹476K,₹523K
Boston Consulting Group,1,-1,₹814K,₹883K
Practo Technologies,1,-1,"₹1,622K","₹1,741K"
ABC Tech,1,-1,₹57K,₹61K
Ecom Express,1,-1,₹30K,₹32K
Helpshift,1,-1,₹64K,₹69K
Ron Bhalla,1,-1,"₹1,439K","₹1,545K"
PwC,1,-1,"₹1,970K","₹2,169K"
D2K Technologies India,1,-1,₹22K,₹24K
Axis Mutual Fund,1,-1,₹80K,₹87K
Intain,1,-1,₹955K,"₹1,031K"
Spineor,1,-1,₹29K,₹31K
Comviva,1,-1,₹285K,₹314K
Niama-Riesser,1,-1,₹234K,₹251K
Spice Money,1,-1,₹704K,₹758K
Praktice Ai,1,-1,₹30K,₹33K
Kudos Finance and Investments,1,-1,₹31K,₹34K
Self,1,-1,₹788K,₹853K
TheMathCompany,1,-1,₹798K,₹869K
Bharat Petroleum,1,-1,"₹1,973K","₹2,116K"
LIBSYS (India),1,-1,"₹1,639K","₹1,793K"
Aureus Analytics,1,-1,"₹1,001K","₹1,080K"
OneView,1,-1,₹477K,₹523K
BlueBanyan,1,-1,₹5K,₹6K
Adaan,1,-1,₹528K,₹570K
InfoObjects,1,-1,₹60K,₹66K
Prestidge Group,1,-1,"₹1,535K","₹1,658K"
Hurrey Tech Ventures,1,-1,₹14K,₹16K
Navidium,1,-1,₹51K,₹56K
First Student,1,-1,"₹1,045K","₹1,134K"
Amdocs,1,-1,₹663K,₹727K
AppZoro Technologies,1,-1,₹22K,₹24K
SCORG Technologies,1,-1,₹605K,₹650K
Canopus Data Insights,1,-1,₹173K,₹187K
Trafigura,1,-1,"₹3,548K","₹3,868K"
Tata Capital,1,-1,"₹1,066K","₹1,152K"
Gembrill Technologies,1,-1,"₹1,064K","₹1,146K"
N+A,1,-1,"₹1,220K","₹1,317K"
Birdeye,1,-1,₹519K,₹566K
Kvantum,1,-1,₹788K,₹857K
SelotSoft,1,-1,"₹1,832K","₹1,968K"
Raja Software Labs,1,-1,₹494K,₹532K
SelotSoft,1,-1,"₹1,827K","₹1,998K"
Raja Software Labs,1,-1,₹496K,₹531K
Tesseract Global Solutions,1,-1,₹920K,₹998K
Innefu Labs Pvt,1,-1,₹956K,"₹1,025K"
Cogoport,1,-1,"₹1,002K","₹1,088K"
Perpule,1,-1,₹26K,₹29K
Microland,1,-1,"₹2,879K","₹3,076K"
Tech Mahindra,1,-1,₹90K,₹98K
CRM-Pride Motors,1,-1,₹355K,₹386K
Abzooba India Infotech,1,-1,₹809K,₹884K
Valuepitch E Technologies,1,-1,₹337K,₹366K
Meru Mobility Tech,1,-1,₹980K,"₹1,061K"
FlyNava Technologies,1,-1,₹21K,₹22K
Sportz Village Schools,1,-1,₹29K,₹31K
Hashworks,1,-1,"₹1,237K","₹1,351K"
EY,1,-1,₹24K,₹26K
Goldman Sachs,1,-1,₹121K,₹131K
IQM,1,-1,₹472K,₹509K
Champs Sports,1,-1,₹240K,₹261K
Symphony RetailAI,1,-1,"₹1,836K","₹1,968K"
Human Network,1,-1,₹30K,₹32K
Mindtree,1,-1,"₹1,007K","₹1,089K"
Valiance Solutions,1,-1,₹579K,₹629K
Grab,1,-1,₹455K,₹490K
L&T Technology Services,1,-1,₹54K,₹60K
Head Digital Works,1,-1,"₹1,363K","₹1,474K"
Paytm,1,-1,"₹3,660K","₹3,953K"
Comsense Technologies,1,-1,₹191K,₹208K
Walmart eCommerce,1,-1,"₹1,994K","₹2,164K"
Tango Eye,1,-1,₹10K,₹11K
Virtual Employee,1,-1,₹40K,₹43K
Planit,1,-1,₹698K,₹757K
Google,1,-1,₹32K,₹35K
Mad Street Den Systems,1,-1,₹59K,₹65K
GlobalStat,1,-1,₹479K,₹513K
Moody's Analytics,1,-1,₹20K,₹22K
Jarvis Technology & Strategy Consulting,1,-1,"₹1,163K","₹1,244K"
Object Technology Solutions India,1,-1,"₹1,721K","₹1,859K"
Knowledge Foundry,1,-1,₹711K,₹780K
HT Media,1,-1,"₹2,309K","₹2,529K"
JDA Worldwide,1,-1,₹773K,₹834K
Knowledge Lens,1,-1,₹40K,₹43K
Develearn Data Sciences Institute,1,-1,₹701K,₹763K
Aptara,1,-1,₹150K,₹162K
PCS Global Tech,1,-1,₹6K,₹7K
Standard Chartered Bank,1,-1,"₹1,421K","₹1,560K"
SwitchOn,1,-1,₹629K,₹672K
Fuzzy Logix,1,-1,₹31K,₹33K
Apple,1,-1,"₹1,389K","₹1,525K"
Inventeron Technologies And Business Solutions,1,-1,₹404K,₹437K
Ashok Leyland,1,-1,"₹1,326K","₹1,440K"
Jio Platforms Ltd,1,-1,₹242K,₹260K
Saksoft,1,-1,"₹1,736K","₹1,887K"
Nokia,1,-1,₹955K,"₹1,023K"
BizViz Technologies,1,-1,₹320K,₹346K
Barclays,1,-1,"₹1,616K","₹1,761K"
Altimetrik,1,-1,₹42K,₹46K
Indegene,1,-1,₹26K,₹28K
DB Corp,1,-1,₹800K,₹869K
Freelancer,1,-1,₹609K,₹659K
DB Corp,1,-1,₹805K,₹862K
Freelancer,1,-1,₹602K,₹649K
Voyomotive,1,-1,₹455K,₹489K
Proclan Technologies,1,-1,₹508K,₹550K
Exl-Technologies,1,-1,₹579K,₹631K
Xenon Automotive,1,-1,₹33K,₹36K
REACH Technologies,1,-1,₹11K,₹11K
W. Ray Wallace,1,-1,₹48K,₹52K
myCOL,1,-1,₹30K,₹32K
Baby Brand Saffron,1,-1,₹95K,₹101K
Innoclique Congitive Technologies,1,-1,"₹1,295K","₹1,421K"
Aptus Health,1,-1,₹35K,₹39K
Algoscale,1,-1,₹12K,₹12K
Majorel,1,-1,"₹1,075K","₹1,173K"
Hotify,1,-1,"₹1,240K","₹1,354K"
Apar Technologies,1,-1,"₹1,622K","₹1,762K"
Datafoundry,1,-1,"₹1,073K","₹1,170K"
Elasto Tech Industries,1,-1,₹829K,₹887K
ZS Associates,1,-1,₹48K,₹53K
Analytical Wizards,1,-1,₹29K,₹31K
Algo8.ai,1,-1,₹7K,₹7K
IQLECT,1,-1,₹10K,₹11K
iDTech Technologies,1,-1,₹631K,₹686K
Vidooly Media Tech,1,-1,₹521K,₹563K
Gartner,1,-1,"₹1,935K","₹2,068K"
iPredictt Data Science Labs,1,-1,₹24K,₹26K
Larsen & Toubro,1,-1,₹58K,₹62K
Trendwise Analytics,1,-1,₹450K,₹488K
Locobuzz,1,-1,₹590K,₹638K
abv - Iiitm Gwalior,1,-1,₹48K,₹52K
JoulestoWatts Business Solutions,1,-1,₹753K,₹812K
Simple & Real Analytics,1,-1,₹11K,₹12K
First Student,1,-1,₹576K,₹627K
Ushur,1,-1,₹40K,₹43K
Aqusag Technologies,1,-1,₹500K,₹548K
CSS Corporation,1,-1,"₹7,578K","₹8,316K"
Siemens,1,-1,₹479K,₹519K
iKen Solutions,1,-1,"₹1,144K","₹1,241K"
Internshala,1,-1,₹500K,₹546K
AXA,1,-1,₹94K,₹102K
Internshala,1,-1,₹500K,₹547K
AXA,1,-1,₹94K,₹103K
Capital One,1,-1,₹96K,₹105K
Catallyst Executive Education Institute,1,-1,₹7K,₹8K
NorthOut,1,-1,₹640K,₹687K
AntWorks,1,-1,₹958K,"₹1,032K"
ZedEye Labs,1,-1,"₹1,049K","₹1,137K"
CronLabs Solutions,1,-1,₹345K,₹375K
MachinePulse,1,-1,"₹1,069K","₹1,158K"
BDO,1,-1,₹736K,₹788K
Philips,1,-1,₹57K,₹61K
Skill Vendors,1,-1,"₹1,257K","₹1,360K"
EzeiaTech,1,-1,₹21K,₹23K
Samsung R&D Institute India - Bangalore,1,-1,"₹1,869K","₹2,057K"
St. Joseph Health System,1,-1,₹29K,₹31K
Rakuten,1,-1,"₹1,741K","₹1,882K"
Dayananda Sagar College of Engineering,1,-1,₹572K,₹628K
Tapzo,1,-1,₹24K,₹26K
Malik Girish Anand,1,-1,₹172K,₹186K
PriceLabs,1,-1,₹38K,₹41K
Terra Economics and Analytics Lab,1,-1,₹870K,₹941K
TM Systems,1,-1,₹95K,₹104K
Unbxd,1,-1,₹24K,₹26K
Tricog Health Services,1,-1,₹673K,₹731K
Datalicious,1,-1,"₹1,508K","₹1,637K"
V2 Solutions,1,-1,"₹1,089K","₹1,192K"
Real Time Signals,1,-1,₹319K,₹348K
Self,1,-1,₹10K,₹11K
Reliance Industries,1,-1,₹571K,₹629K
Milkbasket,1,-1,₹91K,₹98K
AIEnterprise,1,-1,₹667K,₹721K
Acalvio,1,-1,"₹2,273K","₹2,446K"
Hdfc,1,-1,₹107K,₹116K
Snap,1,-1,"₹3,871K","₹4,146K"
Prognos Health,1,-1,₹119K,₹129K
Think Analytics,1,-1,₹479K,₹520K
Data Semantics,1,-1,₹335K,₹363K
Unbxd,1,-1,"₹2,646K","₹2,859K"
DataWeave,1,-1,₹25K,₹27K
McAfee,1,-1,"₹2,074K","₹2,244K"
Condé Nast,1,-1,"₹1,017K","₹1,118K"
Kritrim,1,-1,₹712K,₹772K
Ellicium Solutions Private Limited,1,-1,₹231K,₹252K
Comviva,1,-1,"₹1,322K","₹1,438K"
Parexel,1,-1,"₹1,842K","₹2,014K"
AnalytixLabs,1,-1,₹40K,₹43K
Aventior,1,-1,₹13K,₹14K
Continental,1,-1,₹17K,₹19K
Cartesian Consulting,1,-1,₹811K,₹877K
TTL,1,-1,₹10K,₹10K
VertexOne,1,-1,₹196K,₹212K
OnlineSales.ai,1,-1,₹133K,₹146K
Accenture,1,-1,₹87K,₹94K
Corner Stone Solution,1,-1,₹19K,₹21K
Fractal,1,-1,₹45K,₹50K
VMock,1,-1,"₹1,164K","₹1,244K"
Wingify,1,-1,"₹1,748K","₹1,892K"
Texas Instruments,1,-1,"₹1,090K","₹1,192K"
Jaitra,1,-1,"₹1,415K","₹1,530K"
DataFactZ,1,-1,₹315K,₹340K
Verizon,1,-1,₹43K,₹47K
EY-Parthenon,1,-1,"₹1,144K","₹1,244K"
GainInsights Solutions,1,-1,₹15K,₹16K
Spiceworks Ziff Davis,1,-1,"₹1,916K","₹2,068K"
Mphasis,1,-1,₹717K,₹767K
Cactus (India),1,-1,₹967K,"₹1,045K"
Sutherland,1,-1,₹852K,₹927K
CAPA - Centre for Aviation,1,-1,"₹5,630K","₹6,060K"
Forec Software Solutions,1,-1,₹573K,₹621K
Mobius365,1,-1,₹32K,₹35K
Hewlett Packard Enterprise | HPE,1,-1,₹29K,₹31K
"Dr. Ratan Tiwari, MD",1,-1,₹505K,₹544K
PharmEasy,1,-1,"₹1,093K","₹1,167K"
Soochow University,1,-1,₹951K,"₹1,036K"
Playpower Labs,1,-1,₹954K,"₹1,039K"
State Bank of India,1,-1,"₹1,082K","₹1,169K"
Tata Consultancy Services (North America),1,-1,₹92K,₹100K
Kovid Academy,1,-1,"₹1,760K","₹1,925K"
Comsense Technologies,1,-1,₹371K,₹396K
Decision Minds,1,-1,"₹1,712K","₹1,851K"
