company,no_of_salaries,avg_salary,min_salary,max_salary
AlgoAnalytics Financial Consultancy,3,"₹ 83,683/mo",₹43K,₹85K
Two Roads Tech,3,"₹ 36,91,976/yr","₹2,637K","₹3,956K"
Nagarro,3,"₹ 9,52,650/yr",₹626K,"₹1,114K"
CARS24.com,3,"₹ 14,60,008/yr",₹845K,"₹1,469K"
Bharti Airtel,3,"₹ 9,46,103/yr",₹720K,"₹1,866K"
Edelweiss Financial Services,3,"₹ 18,636/mo",₹18K,₹21K
National Payments Corporation of India,3,"₹ 10,01,564/yr",₹500K,"₹1,877K"
Honeywell,3,"₹ 15,00,000/yr","₹1,126K","₹1,502K"
FICO,3,"₹ 15,82,276/yr","₹1,469K","₹1,877K"
Noodle.ai,3,"₹ 15,91,671/yr","₹1,250K","₹2,858K"
Episource,3,"₹ 10,59,784/yr",₹863K,"₹1,160K"
LatentView Analytics,3,"₹ 9,90,345/yr",₹557K,"₹1,838K"
Gramener,3,"₹ 8,36,827/yr",₹800K,"₹1,341K"
Guavus,3,"₹ 13,98,089/yr","₹1,183K","₹2,711K"
Robert Bosch India,3,"₹ 10,50,000/yr",₹953K,"₹1,229K"
Publicis Sapient,3,"₹ 17,15,447/yr",₹914K,"₹1,765K"
Times Internet,3,"₹ 34,29,624/yr","₹1,408K","₹3,477K"
Gojek,3,"₹ 22,78,312/yr","₹2,151K","₹2,534K"
CASHe,3,"₹ 10,58,907/yr","₹1,058K","₹1,089K"
Brillio,3,"₹ 13,84,973/yr","₹1,132K","₹1,646K"
Profeza,3,"₹ 10,755/mo",₹11K,₹11K
EXL Service,3,"₹ 8,50,000/yr",₹570K,"₹1,198K"
Bharat Light & Power,3,"₹ 6,96,484/yr",₹558K,₹837K
upGrad,3,"₹ 23,65,258/yr",₹200K,"₹2,500K"
Vidooly Media Tech,3,"₹ 15,738/mo",₹12K,₹16K
Claim Genius,3,"₹ 12,00,000/yr",₹570K,"₹1,350K"
Innoplexus,3,"₹ 49,517/mo",₹13K,₹497K
LiquidHub,3,"₹ 10,04,803/yr",₹725K,"₹2,398K"
Fractal,3,"₹ 33,091/mo",₹19K,₹49K
Sumyag,3,"₹ 28,583/mo",₹22K,₹29K
OYO,3,"₹ 35,479/mo",₹30K,₹45K
T-Systems,3,"₹ 12,41,760/yr","₹1,100K","₹1,423K"
Mad Street Den Systems,3,"₹ 21,500/mo",₹17K,₹25K
Artificial Learning Systems,3,"₹ 10,89,066/yr",₹900K,"₹1,307K"
Yatra Online Pvt Ltd,3,"₹ 15,835/mo",₹11K,₹16K
Cartesian Consulting,3,"₹ 23,653/mo",₹22K,₹24K
Atlan,3,"₹ 17,150/mo",₹16K,₹27K
Mate Labs,3,"₹ 16,336/mo",₹16K,₹21K
ShieldSquare,3,"₹ 7,37,453/yr",₹667K,₹780K
Coriolis Technologies,3,"₹ 16,032/mo",₹16K,₹18K
J.P. Morgan,3,"₹ 7,24,515/yr",₹640K,"₹2,157K"
Prudential plc,3,"₹ 10,68,773/yr",₹904K,"₹1,103K"
Draup,3,"₹ 18,00,143/yr","₹1,307K","₹2,098K"
Manthan,3,"₹ 12,14,629/yr","₹1,008K","₹2,086K"
PayPal,3,"₹ 6,14,545/yr",₹241K,"₹1,650K"
Philips,3,"₹ 13,76,579/yr","₹1,244K","₹1,694K"
Course5 Intelligence,3,"₹ 6,50,000/yr",₹615K,"₹1,271K"
Quadratic Insights,3,"₹ 37,881/mo",₹35K,₹47K
XPO Logistics,2,-1,"₹1,456K","₹2,143K"
Vodafone Idea,2,-1,₹502K,"₹1,855K"
Belong,2,-1,"₹1,191K","₹1,592K"
Virtusa,2,-1,₹127K,₹476K
Kabbage,2,-1,"₹1,824K","₹2,191K"
ABB,2,-1,₹806K,"₹1,056K"
Karvy,2,-1,₹13K,₹19K
Mahindra,2,-1,₹949K,"₹1,050K"
DataVal Analytics,2,-1,₹53K,₹60K
Deloitte,2,-1,₹16K,₹31K
Tata Consultancy Services,2,-1,₹420K,₹670K
